i, j, number of events processed, number of events selected
514, 0, 56015, 121
515, 0, 56682, 112
516, 0, 56753, 132
517, 0, 56735, 118
518, 0, 56600, 125
519, 0, 56428, 137
520, 0, 56559, 123
521, 0, 56604, 134
522, 0, 56617, 130
523, 0, 56642, 131
524, 0, 56992, 125
525, 0, 57049, 129
526, 0, 56742, 138
532, 0, 56237, 129
527, 0, 56759, 143
529, 0, 56517, 122
531, 0, 56654, 142
537, 0, 56568, 122
530, 0, 56523, 134
533, 0, 56776, 124
528, 0, 56768, 122
534, 0, 56940, 144
535, 0, 56768, 135
536, 0, 56805, 121
538, 0, 56878, 133
539, 0, 56388, 120
540, 0, 57060, 140
541, 0, 56496, 117
542, 0, 56629, 130
543, 0, 56656, 117
544, 0, 56887, 138
545, 0, 56463, 154
546, 0, 56978, 116
547, 0, 56227, 132
548, 0, 57114, 129
549, 0, 56322, 96
550, 0, 56789, 121
551, 0, 56865, 126
552, 0, 56759, 104
553, 0, 56679, 122
554, 0, 56723, 108
555, 0, 56421, 117
556, 0, 56669, 122
557, 0, 56536, 134
558, 0, 56877, 144
559, 0, 56597, 136
560, 0, 57020, 115
561, 0, 56623, 146
562, 0, 57074, 132
563, 0, 56799, 115
564, 0, 56484, 121
565, 0, 56630, 119
566, 0, 56862, 133
567, 0, 56588, 123
568, 0, 56408, 127
569, 0, 56791, 112
570, 0, 56601, 111
571, 0, 56240, 141
572, 0, 56762, 117
573, 0, 56815, 139
574, 0, 56843, 124
575, 0, 56618, 118
576, 0, 56300, 124
577, 0, 57020, 105
578, 0, 56611, 123
579, 0, 57111, 117
580, 0, 56889, 122
581, 0, 56352, 124
582, 0, 56679, 117
583, 0, 56613, 165
584, 0, 56554, 115
585, 0, 56597, 124
586, 0, 56399, 141
587, 0, 56980, 118
588, 0, 56663, 124
589, 0, 56388, 137
590, 0, 56562, 137
591, 0, 56454, 125
592, 0, 56655, 126
593, 0, 56717, 125
594, 0, 56425, 131
595, 0, 56634, 106
596, 0, 56839, 104
597, 0, 56684, 124
598, 0, 56560, 109
599, 0, 56773, 111
600, 0, 56863, 127
601, 0, 56753, 125
602, 0, 56269, 131
604, 0, 56829, 115
603, 0, 56639, 135
605, 0, 56328, 118
606, 0, 56016, 129
607, 0, 56340, 111
608, 0, 56622, 122
609, 0, 56664, 124
610, 0, 56942, 135
611, 0, 56027, 122
612, 0, 56361, 133
613, 0, 56493, 116
614, 0, 56047, 117
615, 0, 57144, 121
616, 0, 57126, 128
617, 0, 56486, 122
618, 0, 56860, 112
619, 0, 56808, 118
620, 0, 56864, 129
621, 0, 56762, 135
622, 0, 56673, 128
624, 0, 56703, 111
623, 0, 56615, 131
625, 0, 56681, 135
626, 0, 56855, 121
627, 0, 56663, 109
628, 0, 56976, 135
629, 0, 56578, 152
630, 0, 56807, 113
631, 0, 56744, 108
